from_stop_id,to_stop_id,transfer_type
4246,3269,0
5316,3269,0
4247,3269,0
3269,3269,0
0169,3566,0
0908,3566,0
2209,3566,0
3227,3566,0
0169,3558,0
0908,3558,0
2209,3558,0
3227,3558,0
3566,3566,0
3566,3558,0
3558,3566,0
3558,3558,0
20011,20012,0
20011,20013,0
20011,20015,0
20011,20016,0
20011,20021,0
20011,20022,0
20011,20023,0
20011,20024,0
20011,20025,0
20011,20026,0
20011,20031,0
20011,20032,0
20011,20033,0
20011,20034,0
20011,20035,0
20011,20036,0
20012,20011,0
20012,20013,0
20012,20015,0
20012,20016,0
20012,20021,0
20012,20022,0
20012,20023,0
20012,20024,0
20012,20025,0
20012,20026,0
20012,20031,0
20012,20032,0
20012,20033,0
20012,20034,0
20012,20035,0
20012,20036,0
20013,20011,0
20013,20012,0
20013,20015,0
20013,20016,0
20013,20021,0
20013,20022,0
20013,20023,0
20013,20024,0
20013,20025,0
20013,20026,0
20013,20031,0
20013,20032,0
20013,20033,0
20013,20034,0
20013,20035,0
20013,20036,0
20015,20011,0
20015,20012,0
20015,20013,0
20015,20016,0
20015,20021,0
20015,20022,0
20015,20023,0
20015,20024,0
20015,20025,0
20015,20026,0
20015,20031,0
20015,20032,0
20015,20033,0
20015,20034,0
20015,20035,0
20015,20036,0
20016,20011,0
20016,20012,0
20016,20013,0
20016,20015,0
20016,20021,0
20016,20022,0
20016,20023,0
20016,20024,0
20016,20025,0
20016,20026,0
20016,20031,0
20016,20032,0
20016,20033,0
20016,20034,0
20016,20035,0
20016,20036,0
20021,20011,0
20021,20012,0
20021,20013,0
20021,20015,0
20021,20016,0
20021,20022,0
20021,20023,0
20021,20024,0
20021,20025,0
20021,20026,0
20021,20031,0
20021,20032,0
20021,20033,0
20021,20034,0
20021,20035,0
20021,20036,0
20022,20011,0
20022,20012,0
20022,20013,0
20022,20015,0
20022,20016,0
20022,20021,0
20022,20023,0
20022,20024,0
20022,20025,0
20022,20026,0
20022,20031,0
20022,20032,0
20022,20033,0
20022,20034,0
20022,20035,0
20022,20036,0
20023,20011,0
20023,20012,0
20023,20013,0
20023,20015,0
20023,20016,0
20023,20021,0
20023,20022,0
20023,20024,0
20023,20025,0
20023,20026,0
20023,20031,0
20023,20032,0
20023,20033,0
20023,20034,0
20023,20035,0
20023,20036,0
20024,20011,0
20024,20012,0
20024,20013,0
20024,20015,0
20024,20016,0
20024,20021,0
20024,20022,0
20024,20023,0
20024,20025,0
20024,20026,0
20024,20031,0
20024,20032,0
20024,20033,0
20024,20034,0
20024,20035,0
20024,20036,0
20025,20011,0
20025,20012,0
20025,20013,0
20025,20015,0
20025,20016,0
20025,20021,0
20025,20022,0
20025,20023,0
20025,20024,0
20025,20026,0
20025,20031,0
20025,20032,0
20025,20033,0
20025,20034,0
20025,20035,0
20025,20036,0
20026,20011,0
20026,20012,0
20026,20013,0
20026,20015,0
20026,20016,0
20026,20021,0
20026,20022,0
20026,20023,0
20026,20024,0
20026,20025,0
20026,20031,0
20026,20032,0
20026,20033,0
20026,20034,0
20026,20035,0
20026,20036,0
20031,20011,0
20031,20012,0
20031,20013,0
20031,20015,0
20031,20016,0
20031,20021,0
20031,20022,0
20031,20023,0
20031,20024,0
20031,20025,0
20031,20026,0
20031,20032,0
20031,20033,0
20031,20034,0
20031,20035,0
20031,20036,0
20032,20011,0
20032,20012,0
20032,20013,0
20032,20015,0
20032,20016,0
20032,20021,0
20032,20022,0
20032,20023,0
20032,20024,0
20032,20025,0
20032,20026,0
20032,20031,0
20032,20033,0
20032,20034,0
20032,20035,0
20032,20036,0
20033,20011,0
20033,20012,0
20033,20013,0
20033,20015,0
20033,20016,0
20033,20021,0
20033,20022,0
20033,20023,0
20033,20024,0
20033,20025,0
20033,20026,0
20033,20031,0
20033,20032,0
20033,20034,0
20033,20035,0
20033,20036,0
20034,20011,0
20034,20012,0
20034,20013,0
20034,20015,0
20034,20016,0
20034,20021,0
20034,20022,0
20034,20023,0
20034,20024,0
20034,20025,0
20034,20026,0
20034,20031,0
20034,20032,0
20034,20033,0
20034,20035,0
20034,20036,0
20035,20011,0
20035,20012,0
20035,20013,0
20035,20015,0
20035,20016,0
20035,20021,0
20035,20022,0
20035,20023,0
20035,20024,0
20035,20025,0
20035,20026,0
20035,20031,0
20035,20032,0
20035,20033,0
20035,20034,0
20035,20036,0
20036,20011,0
20036,20012,0
20036,20013,0
20036,20015,0
20036,20016,0
20036,20021,0
20036,20022,0
20036,20023,0
20036,20024,0
20036,20025,0
20036,20026,0
20036,20031,0
20036,20032,0
20036,20033,0
20036,20034,0
20036,20035,0
60371,60372,0
60371,60373,0
60371,60374,0
60371,60375,0
60371,4433,0
60372,60371,0
60372,60373,0
60372,60374,0
60372,60375,0
60372,4433,0
60373,60371,0
60373,60372,0
60373,60374,0
60373,60375,0
60373,4433,0
60374,60371,0
60374,60372,0
60374,60373,0
60374,60375,0
60374,4433,0
60375,60371,0
60375,60372,0
60375,60373,0
60375,60374,0
60375,4433,0
4433,60371,0
4433,60372,0
4433,60373,0
4433,60374,0
4433,60375,0
